Date,L_Park,Bridge,Home,Park_to_home,Park_to_bridge,Bridge_to_home,Note
2023-09-19,18:40,19:24,19:45,65,44,21,
2023-09-22,18:32,19:24,19:44,72,52,20,
2023-09-25,18:48,19:35,19:54,66,47,19,
2023-09-29,18:24,19:16,19:39,75,52,23,
2023-10-03,17:41,18:35,18:56,75,54,21,
2023-10-06,17:48,18:44,19:10,82,56,26,
2023-10-10,17:38,18:29,18:50,72,51,21,
2023-10-13,17:43,18:32,18:52,69,49,20,
2023-10-16,17:46,18:35,18:56,70,49,21,
2023-10-20,17:28,18:19,18:40,72,51,21,
2023-10-24,17:17,18:13,18:34,77,56,21,
2023-10-28,16:56,17:50,18:12,76,54,22,
2023-10-31,16:58,17:52,18:13,75,54,21,
2023-11-03,16:56,17:49,18:10,74,53,21,
2023-11-08,15:42,16:36,16:58,76,54,22,
2023-11-10,15:47,16:42,17:05,78,55,23,
2023-11-14,15:23,16:17,16:41,78,54,24,
2023-11-17,15:20,16:14,16:35,75,54,21,
2023-11-21,15:25,16:19,16:39,74,54,20,
2023-11-24,15:30,16:23,16:44,74,53,21,
2023-11-28,15:29,16:21,16:44,75,52,23,
2023-12-02,15:25,16:15,16:40,75,50,25,
2023-12-08,15:16,16:08,16:30,74,52,22,
2023-12-12,15:17,16:10,16:30,73,53,20,
2023-12-17,15:14,16:08,16:28,74,54,20,
2023-12-19,15:22,16:19,16:39,77,57,20,
2023-12-23,15:12,16:08,16:29,77,56,21,
2023-12-29,15:21,16:15,16:38,77,54,23,
2024-01-03,15:15,16:15,16:37,82,60,22,
2024-01-05,15:28,16:28,16:50,82,60,22,
2024-01-09,15:18,16:17,16:36,78,59,19,
2024-01-19,15:21,16:23,16:47,86,62,24,
2024-01-23,15:18,16:20,16:41,83,62,21,
2024-01-26,15:30,16:32,16:55,85,62,23,
2024-01-31,15:37,16:41,17:02,85,64,21,
2024-02-02,15:39,16:41,17:04,85,62,23,
2024-02-06,15:29,16:30,16:52,83,61,22,
2024-02-09,15:27,NA,16:48,81,NA,NA,
2024-02-13,15:42,16:42,17:03,81,60,21,
2024-02-16,15:39,16:50,17:11,92,71,21,
2024-02-20,15:50,16:54,17:15,85,64,21,
2024-02-23,15:38,16:44,17:05,87,66,21,
2024-02-27,16:04,NA,NA,NA,NA,NA,
2024-03-01,15:54,17:00,17:23,89,66,23,
2024-03-06,16:08,17:09,17:30,82,61,21,
2024-03-08,16:11,17:18,17:39,88,67,21,
2024-03-15,17:12,18:19,18:43,91,67,24,
2024-03-19,17:20,18:23,18:45,85,63,22,
2024-03-26,17:18,18:23,18:45,87,65,22,
2024-03-29,17:37,18:50,19:13,96,73,23,
2024-04-02,17:26,18:29,18:52,86,63,23,
2024-04-05,17:41,18:46,19:11,90,65,25,
2024-04-09,17:48,19:12,19:42,114,84,30,SmashBurger
2024-04-16,17:47,18:59,19:23,96,72,24,
2024-04-19,17:30,19:01,19:26,116,91,25,SmashBurger
2024-04-23,17:32,18:41,19:03,91,69,22,
2024-04-26,17:52,19:08,19:32,100,76,24,SmashBurger
2024-04-30,17:35,18:52,19:14,99,77,22,SmashBurger
2024-05-03,17:53,18:54,19:17,84,61,23,
2024-05-10,18:38,19:33,19:54,76,55,21,
2024-05-14,18:31,19:40,20:12,101,69,32,
2024-05-24,19:03,20:05,20:30,87,62,25,
2024-05-28,18:59,20:14,20:35,96,75,21,Smashburger
2024-06-04,18:58,20:03,20:39,101,65,36,Gelato
2024-06-18,19:21,20:13,20:53,92,52,40,Gelato
2024-06-21,18:54,19:57,20:32,98,63,35,Gelato
2024-06-26,19:15,20:19,20:55,100,64,36,Gelato
2024-06-28,19:16,20:17,20:46,90,61,29,Gelato
2024-07-02,19:24,20:28,21:02,98,64,34,Gelato
2024-07-05,19:19,20:20,20:51,92,61,31,Gelato
2024-07-09,19:11,20:13,20:52,101,62,39,Gelato
2024-07-12,19:16,20:25,20:45,89,69,20,
2024-07-16,19:23,NA,20:52,89,NA,NA,Gelato
2024-07-19,19:25,20:34,21:11,106,69,37,Gelato
2024-07-23,18:48,19:52,20:40,112,64,48,Gelato
2024-07-26,19:21,20:25,20:51,90,64,26,
2024-07-30,17:13,18:12,18:33,80,59,21,
2024-08-04,19:11,20:08,20:42,91,57,34,Gelato - half walk from beach
