Who,Date,StartLoc,StartTime,EndLoc,EndTime
AKK,2025-02-07,Leaving2,15:17,Tracks,15:36
AKK,2025-02-07,Tracks,15:36,Lab,15:59
AKKSKK,2025-02-07,Lab,15:59,Elks,16:30
AKK,2025-02-11,Leaving2,15:40,Tracks,15:59
AKK,2025-02-11,Tracks,15:59,Lab,16:22
AKKSKK,2025-02-11,Lab,16:22,Elks,17:00
AKK,2025-02-14,Leaving2,16:30,Tracks,16:49
AKK,2025-02-14,Tracks,16:49,Lab,17:11
AKKSKK,2025-02-14,Lab,17:11,Elks,17:35
AKK,2025-02-18,Leaving2,16:07,Tracks,16:36
AKK,2025-02-18,Tracks,16:36,Lab,16:48
AKKSKK,2025-02-18,Lab,16:49,Elks,17:17
AKK,2025-03-04,Tracks,16:11,Lab,16:35
AKK,2025-03-04,Lab,16:35,Bridge,16:51
AKK,2025-03-11,Leaving2,15:55,Tracks,16:09
AKK,2025-03-11,Tracks,16:09,Lab,16:34
AKKSKK,2025-03-11,Lab,16:34,Elks,16:58
AKK,2025-03-14,Leaving2,15:51,Tracks,16:07
AKK,2025-03-19,Leaving2,15:25,Tracks,15:43
AKK,2025-03-25,Leaving2,15:38,Tracks,15:58
AKK,2025-03-25,Tracks,15:58,Bridge,16:34
AKK,2025-03-28,Tracks,16:07,Lab,16:33
AKKSKK,2025-03-28,Lab,16:33,Elks,16:58
AKK,2025-04-01,Leaving2,15:45,Tracks,16:05
AKK,2025-04-01,Tracks,16:05,Lab,16:31
AKKSKK,2025-04-01,Lab,16:31,Elks,17:08
AKK,2025-04-29,Leaving2,15:42,Tracks,16:01
AKK,2025-04-29,Tracks,16:01,Lab,16:25
AKKSKK,2025-04-29,Lab,16:26,Elks,16:53
